representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M1b_cv_prediction,M0star_abs_error,M1b_abs_error,M0star_unseen_levels,M1b_unseen_levels,abs_error_change
per_capita,MYS,Malaysia,South-eastern Asia,0.14354714353630665,0.13984964940859548,0.1406285569065204,0.0036974941277111706,0.0029185866297862517,0,0,-0.0007789074979249189
per_capita,MNG,Mongolia,Eastern Asia,0.273292065382825,0.23284593035885565,0.23177989834508755,0.040446135023969376,0.04151216703773747,0,0,0.0010660320137680923
per_capita,NPL,Nepal,Southern Asia,0.12394103933918027,0.1522270456390989,0.15238549094675527,0.02828600629991862,0.028444451607575,0,0,0.00015844530765637965
per_capita,OMN,Oman,Western Asia,0.2034660332775613,0.14771171772120217,0.13702901544145252,0.055754315556359124,0.06643701783610878,0,0,0.010682702279749656
per_capita,PAK,Pakistan,Southern Asia,0.1799496198587603,0.1777117740461206,0.17783729184786656,0.002237845812639694,0.002112328010893727,0,0,-0.00012551780174596683
per_capita,PHL,Philippines,South-eastern Asia,0.16029540562197608,0.12046427837465637,0.12051178628262088,0.039831127247319714,0.0397836193393552,0,0,-4.750790796451132e-05
per_capita,QAT,Qatar,Western Asia,0.2314787860422459,0.1731179033299401,0.16535186959701156,0.0583608827123058,0.06612691644523433,0,0,0.007766033732928529
per_capita,SAU,Saudi Arabia,Western Asia,0.1912885606557455,0.1821479972916817,0.1845297256547625,0.009140563364063797,0.00675883500098301,0,0,-0.0023817283630807873
per_capita,KOR,South Korea,Eastern Asia,0.14512934007189218,0.19991184837319467,0.2010485424757285,0.05478250830130249,0.05591920240383633,0,0,0.0011366941025338362
per_capita,LKA,Sri Lanka,Southern Asia,0.13450142935863102,0.1386036150221068,0.13862515319621874,0.0041021856634757825,0.004123723837587717,0,0,2.1538174111934705e-05
per_capita,SYR,Syria,Western Asia,0.14323534954112288,0.2143048227117261,0.2136255636218894,0.07106947317060322,0.07039021408076651,0,0,-0.000679259089836709
per_capita,TWN,Taiwan,Eastern Asia,0.13706412122195852,0.145144801160498,0.1452870692897576,0.008080679938539476,0.00822294806779908,0,0,0.00014226812925960397
per_capita,TJK,Tajikistan,Central Asia,0.233975502099763,0.20376282373350335,0.2033438992631311,0.030212678366259654,0.03063160283663191,0,0,0.0004189244703722561
per_capita,THA,Thailand,South-eastern Asia,0.11983102194091183,0.16213029411083235,0.16231563400854046,0.04229927216992052,0.04248461206762863,0,0,0.00018533989770810888
per_capita,TUR,Turkey,Western Asia,0.1419623303023036,0.1562232602882922,0.15427030348913426,0.014260929985988602,0.012307973186830662,0,0,-0.00195295679915794
per_capita,TKM,Turkmenistan,Central Asia,0.2752870410187589,0.1872663685180213,0.1865845154120393,0.08802067250073758,0.0887025256067196,0,0,0.000681853105982011
per_capita,ARE,United Arab Emirates,Western Asia,0.2248308233871666,0.16362451433463748,0.15384042511084667,0.061206309052529106,0.07099039827631992,0,0,0.009784089223790815
per_capita,UZB,Uzbekistan,Central Asia,0.27739224194989204,0.20934363279782756,0.2074925584960622,0.06804860915206448,0.06989968345382983,0,0,0.001851074301765343
per_capita,VNM,Vietnam,South-eastern Asia,0.122632583177362,0.1588391759078767,0.15924372891541605,0.036206592730514686,0.036611145738054046,0,0,0.00040455300753935997
per_capita,YEM,Yemen,Western Asia,0.20150002766065422,0.15282299136985333,0.1510684142521632,0.04867703629080089,0.05043161340849103,0,0,0.0017545771176901426
per_capita,ALB,Albania,Southern Europe,0.15748303087977816,0.14280728559731534,0.14269003329306412,0.014675745282462821,0.01479299758671404,0,0,0.00011725230425121969
per_capita,AUT,Austria,Western Europe,0.21029967713303166,0.21833416369282302,0.21812511851918723,0.00803448655979136,0.007825441386155568,0,0,-0.00020904517363579123
