representation,model,fit,held_out_iso3,fold,n_train,matrix_columns,matrix_rank,feature_identified,column,coefficient
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,climate_zone=D,-0.004363656637076003
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,climate_zone=E,-0.08952179608348718
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,hemisphere=S,-0.04065014396641474
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,spatial_block=Asia,-0.05602536327259472
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,spatial_block=Europe,-0.06567498388943759
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,spatial_block=North America,-0.09388230878246198
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,spatial_block=Oceania,-0.046040950880111065
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,spatial_block=South America,-0.055533164345159036
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,income_group=Low-income countries,0.012533360546376139
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,income_group=Lower-middle-income countries,-0.00898677697856757
primary_total_co2,M0star,primary_training,COD,10,133,20,20,,income_group=Upper-middle-income countries,-0.01316152243182614
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,intercept,0.2505158834646036
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,cum_co2_total,0.0183301063582832
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,abs_latitude,0.0010419112741444994
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,elevation,2.57497931644658e-07
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,continentality,4.218087370323974e-05
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,population,-0.015940102501126565
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,station_density,-0.0016645376019074508
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,climate_zone=B,0.006151620480176067
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,climate_zone=C,-0.02204518979447283
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,climate_zone=D,-0.007230366093002491
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,climate_zone=E,-0.09176845615975748
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,hemisphere=S,-0.020223658729703928
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,spatial_block=Asia,-0.04510202890406827
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,spatial_block=Europe,-0.05373078440884534
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,spatial_block=North America,-0.08181887176971571
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,spatial_block=Oceania,-0.054386485636812344
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,spatial_block=South America,-0.05986531694770486
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,income_group=Low-income countries,0.009333311418402261
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,income_group=Lower-middle-income countries,-0.008335032998562832
primary_total_co2,M0star,primary_training,CIV,11,141,20,20,,income_group=Upper-middle-income countries,-0.012863427647198113
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,intercept,0.2435913420052311
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,cum_co2_total,0.014320819975080303
primary_total_co2,M0star,primary_training,DJI,12,145,20,20,,abs_latitude,0.0011771890756448735
