iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
MDG,Madagascar,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MWI,Malawi,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MWI,Malawi,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MWI,Malawi,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9974038360099662,0.98,>= 98%,True,254.5325542533735,,
MWI,Malawi,continentality,terrestrial area with a distance value,0.9999999999999986,0.98,>= 98%,True,1.4150272260674332e-10,,
MWI,Malawi,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
MWI,Malawi,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MLI,Mali,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MLI,Mali,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MLI,Mali,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9992444836720908,0.98,>= 98%,True,945.6491739345345,,
MLI,Mali,continentality,terrestrial area with a distance value,1.0000000000000322,0.98,>= 98%,True,-4.0299014028903206e-08,,
MLI,Mali,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
MLI,Mali,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MRT,Mauritania,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MRT,Mauritania,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MRT,Mauritania,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9995942983933708,0.98,>= 98%,True,422.5274121220602,,
MRT,Mauritania,continentality,terrestrial area with a distance value,1.0000000000003049,0.98,>= 98%,True,-3.175111089916472e-07,,
MRT,Mauritania,climate_zone,classified terrestrial area,0.999794894532491,0.95,>= 95% and A1 - A2 > unclassified,True,213.6118787368946,,
MRT,Mauritania,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MAR,Morocco,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MAR,Morocco,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MAR,Morocco,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9990538312631774,0.98,>= 98%,True,387.37538323482437,,
MAR,Morocco,continentality,terrestrial area with a distance value,0.9999999999998678,0.98,>= 98%,True,5.413590684275741e-08,,
MAR,Morocco,climate_zone,classified terrestrial area,0.9997594323536351,0.95,>= 95% and A1 - A2 > unclassified,True,98.49192916419995,,
MAR,Morocco,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
MOZ,Mozambique,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
MOZ,Mozambique,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
MOZ,Mozambique,elevation,valid terrestrial area (land-centred ETOPO pixels),0.997902641059105,0.98,>= 98%,True,1634.759159620119,,
MOZ,Mozambique,continentality,terrestrial area with a distance value,0.9999999999999484,0.98,>= 98%,True,4.023872399008482e-08,,
MOZ,Mozambique,climate_zone,classified terrestrial area,0.9991913697653437,0.95,>= 95% and A1 - A2 > unclassified,True,630.2763237493313,,
MOZ,Mozambique,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
NAM,Namibia,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
NAM,Namibia,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
NAM,Namibia,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9995813018173072,0.98,>= 98%,True,343.3715856199252,,
NAM,Namibia,continentality,terrestrial area with a distance value,1.000000000000183,0.98,>= 98%,True,-1.5004817419275975e-07,,
NAM,Namibia,climate_zone,classified terrestrial area,0.9997096710368534,0.95,>= 95% and A1 - A2 > unclassified,True,238.09684528816902,,
NAM,Namibia,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
