representation,model,protocol,fit,column,coefficient
primary_total_co2,M0star,primary_loco,ERI,hemisphere=S,-0.030016247726471056
primary_total_co2,M0star,primary_loco,ERI,spatial_block=Asia,-0.06080119088929604
primary_total_co2,M0star,primary_loco,ERI,spatial_block=Europe,-0.06793816533920535
primary_total_co2,M0star,primary_loco,ERI,spatial_block=North America,-0.09476222684284619
primary_total_co2,M0star,primary_loco,ERI,spatial_block=Oceania,-0.05737854851771797
primary_total_co2,M0star,primary_loco,ERI,spatial_block=South America,-0.06447554209076917
primary_total_co2,M0star,primary_loco,ERI,income_group=Low-income countries,0.00025719991898826217
primary_total_co2,M0star,primary_loco,ERI,income_group=Lower-middle-income countries,-0.009149827161674748
primary_total_co2,M0star,primary_loco,ERI,income_group=Upper-middle-income countries,-0.015097185813732721
primary_total_co2,M0star,primary_loco,ETH,intercept,0.24366540446337923
primary_total_co2,M0star,primary_loco,ETH,cum_co2_total,0.014549688634937767
primary_total_co2,M0star,primary_loco,ETH,abs_latitude,0.001084691336505728
primary_total_co2,M0star,primary_loco,ETH,elevation,-2.5011528078880805e-06
primary_total_co2,M0star,primary_loco,ETH,continentality,4.5340014365064974e-05
primary_total_co2,M0star,primary_loco,ETH,population,-0.012068612782429647
primary_total_co2,M0star,primary_loco,ETH,station_density,-0.001562958782614851
primary_total_co2,M0star,primary_loco,ETH,climate_zone=B,0.007233679440266347
