iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
DEU,Germany,355499.4566974893,355232.5753099907,0.9992492776501604,0.04270898297388369,710.2921011266253,636.4492295178206,1.0,8.0,0.0,216,211,"{""non-finite month"": 266.881387}"
GRC,Greece,132579.6342998765,130774.23310403955,0.9863825148909872,-0.15550871622581305,738.8335054178199,1035.079286532006,1.0,7.305375908139284,0.0,155,118,"{""non-finite month"": 1805.401196}"
HUN,Hungary,90770.44461845413,90770.44461845413,1.0,-0.10142803766628666,623.1940745473954,785.0692017030707,1.0,8.0,0.0,55,55,{}
ISL,Iceland,101298.87535857853,101013.83187297582,0.9971861140156422,0.4176283199440256,1024.2439008309377,373.92531223730225,1.0,7.676130519495908,0.0,130,111,"{""non-finite month"": 285.043486}"
IRL,Ireland,69129.1556382827,69028.74145012205,0.9985474408412267,0.3405673041767463,1156.1747335119942,522.837775682227,1.0,8.0,0.0,63,56,"{""non-finite month"": 100.414188}"
ITA,Italy,298917.6442653434,298371.88188758946,0.9981742048747398,-0.05505393802754707,812.812960960375,906.414862546947,1.0,7.829974023896185,0.0,221,193,"{""non-finite month"": 545.762378}"
LVA,Latvia,63182.45063626643,63136.92742919203,0.9992794960211899,0.07603311696457922,647.9282931838396,543.3471233264416,1.0,8.0,0.0,55,52,"{""non-finite month"": 45.523207}"
LTU,Lithuania,63429.16212519105,63411.47699295842,0.9997211829442469,0.07369739828251798,674.4754199169208,567.6520888308406,1.0,7.993056683726353,0.0,46,45,"{""non-finite month"": 17.685132}"
MKD,Macedonia,23833.290018225383,23833.290018225383,1.0,-0.1286631474920621,675.4005036301651,892.3636261601858,1.0,7.993250213612907,0.0,14,14,{}
MDA,Moldova,34578.65377507811,34578.65377507811,1.0,-0.26244803119608257,478.5054805902107,875.57411530354,1.0,8.0,0.0,22,22,{}
MNE,Montenegro,13085.095639931169,13085.095639931169,1.0,0.19005224952157956,1299.758641409073,837.2561899379833,1.0,8.0,0.0,10,10,{}
