iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
IRQ,Iraq,440934.90216792875,440934.90216792875,0.0,1.0,True,191,0,0.0,0.0,0,0,0,0.0,,
ISR,Israel,21870.81354761619,21870.81354761619,0.0,1.0,True,15,0,0.0,0.0,0,0,0,0.0,,
JPN,Japan,371511.12039189885,369090.66995103244,2420.4504408664347,0.9934848506329687,True,324,83,1702.5778248504375,717.8726160159968,0,0,0,2420.4504408664347,0.037273832245358164,0.11911972713795663
JOR,Jordan,86155.66690495024,86155.66690495024,0.0,1.0,True,43,0,0.0,0.0,0,0,0,0.0,,
KAZ,Kazakhstan,2641278.198891676,2638585.379534244,2692.8193574317693,0.9989804862817699,True,1402,12,2692.8193574317693,0.0,0,0,0,2692.8193574317693,0.2251919939917609,0.3220593229716597
LAO,Laos,230512.62345037505,230512.62345037505,0.0,1.0,True,98,0,0.0,0.0,0,0,0,0.0,,
LBN,Lebanon,10045.025840654696,10045.025840654696,0.0,1.0,True,8,0,0.0,0.0,0,0,0,0.0,,
MYS,Malaysia,330713.55186486396,329014.8862319239,1698.6656329400494,0.9948636346367984,True,164,18,1555.9047875661267,142.76084537392262,0,0,0,1698.6656329400494,0.11999057333915117,0.1798773480280472
MNG,Mongolia,1549501.6943611458,1549501.6943611458,0.0,1.0,True,784,0,0.0,0.0,0,0,0,0.0,,
NPL,Nepal,143584.1935917943,143584.1935917943,0.0,1.0,True,65,0,0.0,0.0,0,0,0,0.0,,
OMN,Oman,311210.7174326561,310803.65855493833,407.05887771778924,0.9986920152330363,True,143,8,268.8138780017162,138.24499971607298,0,0,0,407.05887771778924,0.02949457426385051,0.04106876405208445
PAK,Pakistan,879331.2324353191,879284.7616479036,46.47078741556941,0.9999471521245904,True,375,1,46.47078741556941,0.0,0,0,0,46.47078741556941,0.016424847527664422,0.016424847527664422
PHL,Philippines,296328.01390719955,289237.11757365684,7090.896333542737,0.9760707864233067,False,269,80,6666.018584021376,424.8777495213589,0,0,0,7090.896333542737,0.06786317970355117,0.16905599681434938
QAT,Qatar,11392.419132409688,11392.419132409688,0.0,1.0,True,10,0,0.0,0.0,0,0,0,0.0,,
SAU,Saudi Arabia,1913198.1630730159,1911876.636302256,1321.5267707597989,0.9993092577672994,True,746,21,1297.587928571156,23.938842188642766,0,0,0,1321.5267707597989,0.080230196560271,0.16017126342862845
KOR,South Korea,98071.79394883121,97126.25067465517,945.5432741760386,0.9903586624032861,True,74,17,423.41017536037936,522.1330988156594,0,0,0,945.5432741760386,0.04663710828453778,0.09049255987988639
