weights,family,representation,theta,loglik
station,sem,primary_total_co2,-0.13,319.94265315524154
station,sem,primary_total_co2,-0.12,320.3408252143345
station,sem,primary_total_co2,-0.10999999999999999,320.7396278588
station,sem,primary_total_co2,-0.09999999999999998,321.13905878555414
station,sem,primary_total_co2,-0.08999999999999997,321.5391151029122
station,sem,primary_total_co2,-0.07999999999999996,321.9397932985267
station,sem,primary_total_co2,-0.06999999999999995,322.34108920577256
station,sem,primary_total_co2,-0.05999999999999994,322.74299796850374
station,sem,primary_total_co2,-0.04999999999999993,323.145514004109
station,sem,primary_total_co2,-0.039999999999999925,323.54863096478493
station,sem,primary_total_co2,-0.030000000000000027,323.9523416969477
station,sem,primary_total_co2,-0.020000000000000018,324.35663819869535
station,sem,primary_total_co2,-0.010000000000000009,324.7615115752309
station,sem,primary_total_co2,0.0,325.16695199215496
station,sem,primary_total_co2,0.010000000000000009,325.5729486265287
station,sem,primary_total_co2,0.020000000000000018,325.9794896156048
station,sem,primary_total_co2,0.030000000000000027,326.38656200312204
station,sem,primary_total_co2,0.040000000000000036,326.7941516830506
station,sem,primary_total_co2,0.050000000000000044,327.20224334067456
station,sem,primary_total_co2,0.06000000000000005,327.61082039088916
station,sem,primary_total_co2,0.07000000000000006,328.01986491358576
station,sem,primary_total_co2,0.08000000000000007,328.42935758599805
station,sem,primary_total_co2,0.09000000000000008,328.8392776118658
station,sem,primary_total_co2,0.10000000000000009,329.2496026472781
station,sem,primary_total_co2,0.1100000000000001,329.6603087230438
station,sem,primary_total_co2,0.1200000000000001,330.0713701634351
station,sem,primary_total_co2,0.13000000000000012,330.4827595011409
station,sem,primary_total_co2,0.14000000000000012,330.89444738825847
station,sem,primary_total_co2,0.15000000000000013,331.30640250314895
station,sem,primary_total_co2,0.16000000000000014,331.71859145296844
station,sem,primary_total_co2,0.16999999999999993,332.13097867168244
station,sem,primary_total_co2,0.17999999999999994,332.54352631335973
station,sem,primary_total_co2,0.18999999999999995,332.9561941405342
station,sem,primary_total_co2,0.19999999999999996,333.368939407412
station,sem,primary_total_co2,0.20999999999999996,333.78171673769094
station,sem,primary_total_co2,0.21999999999999997,334.1944779967477
station,sem,primary_total_co2,0.22999999999999998,334.60717215793596
station,sem,primary_total_co2,0.24,335.0197451627261
station,sem,primary_total_co2,0.25,335.43213977440166
station,sem,primary_total_co2,0.26,335.8442954250128
station,sem,primary_total_co2,0.27,336.25614805527135
station,sem,primary_total_co2,0.28,336.6676299470517
station,sem,primary_total_co2,0.29000000000000004,337.07866954814335
station,sem,primary_total_co2,0.30000000000000004,337.4891912888786
station,sem,primary_total_co2,0.31000000000000005,337.89911539023456
station,sem,primary_total_co2,0.32000000000000006,338.30835766298134
station,sem,primary_total_co2,0.33000000000000007,338.71682929741996
station,sem,primary_total_co2,0.3400000000000001,339.124436643219
station,sem,primary_total_co2,0.3500000000000001,339.5310809788226
station,sem,primary_total_co2,0.3600000000000001,339.93665826986177
station,sem,primary_total_co2,0.3700000000000001,340.3410589159532
station,sem,primary_total_co2,0.3800000000000001,340.7441674852189
station,sem,primary_total_co2,0.3900000000000001,341.1458624357976
station,sem,primary_total_co2,0.40000000000000013,341.54601582355696
station,sem,primary_total_co2,0.41000000000000014,341.9444929951336
station,sem,primary_total_co2,0.41999999999999993,342.3411522653443
station,sem,primary_total_co2,0.42999999999999994,342.7358445779112
station,sem,primary_total_co2,0.43999999999999995,343.12841314833025
station,sem,primary_total_co2,0.44999999999999996,343.51869308757836
station,sem,primary_total_co2,0.45999999999999996,343.9065110052105
station,sem,primary_total_co2,0.47,344.2916845902123
station,sem,primary_total_co2,0.48,344.6740221677838
station,sem,primary_total_co2,0.49,345.05332222998607
station,sem,primary_total_co2,0.5,345.4293729379122
station,sem,primary_total_co2,0.51,345.8019515927266
station,sem,primary_total_co2,0.52,346.1708240725364
station,sem,primary_total_co2,0.53,346.5357442316262
station,sem,primary_total_co2,0.54,346.89645325806237
station,sem,primary_total_co2,0.55,347.2526789850638
station,sem,primary_total_co2,0.56,347.60413515081115
station,sem,primary_total_co2,0.5700000000000001,347.95052060049716
station,sem,primary_total_co2,0.5800000000000001,348.2915184233954
station,sem,primary_total_co2,0.5900000000000001,348.62679501648853
station,sem,primary_total_co2,0.6000000000000001,348.9559990647149
station,sem,primary_total_co2,0.6100000000000001,349.2787604261084
station,sem,primary_total_co2,0.6200000000000001,349.59468890794807
station,sem,primary_total_co2,0.6300000000000001,349.9033729174138
station,sem,primary_total_co2,0.6400000000000001,350.20437796705585
station,sem,primary_total_co2,0.6500000000000001,350.4972450114866
station,sem,primary_total_co2,0.6600000000000001,350.78148858691486
station,sem,primary_total_co2,0.6700000000000002,351.05659471924173
station,sem,primary_total_co2,0.6799999999999999,351.3220185591211
station,sem,primary_total_co2,0.69,351.5771816932879
station,sem,primary_total_co2,0.7,351.82146907004653
station,sem,primary_total_co2,0.71,352.0542254624528
station,sem,primary_total_co2,0.72,352.2747513744952
station,sem,primary_total_co2,0.73,352.48229827229966
station,sem,primary_total_co2,0.74,352.6760629923867
station,sem,primary_total_co2,0.75,352.8551811400262
station,sem,primary_total_co2,0.76,353.01871923957884
station,sem,primary_total_co2,0.77,353.16566533087115
station,sem,primary_total_co2,0.78,353.2949176146501
station,sem,primary_total_co2,0.79,353.40527062658674
station,sem,primary_total_co2,0.8,353.4953982492397
station,sem,primary_total_co2,0.81,353.5638326339674
station,sem,primary_total_co2,0.8200000000000001,353.6089377681347
station,sem,primary_total_co2,0.8300000000000001,353.62887593743085
station,sem,primary_total_co2,0.8400000000000001,353.62156461978293
station,sem,primary_total_co2,0.8500000000000001,353.58462027759117
station,sem,primary_total_co2,0.8600000000000001,353.51528387373753
station,sem,primary_total_co2,0.8700000000000001,353.4103203533576
station,sem,primary_total_co2,0.8800000000000001,353.26588014704765
station,sem,primary_total_co2,0.8900000000000001,353.0773037387201
station,sem,primary_total_co2,0.9000000000000001,352.83883813622026
station,sem,primary_total_co2,0.9100000000000001,352.5432118695067
station,sem,primary_total_co2,0.9200000000000002,352.18097252153
station,sem,primary_total_co2,0.9299999999999999,351.739403675309
station,sem,primary_total_co2,0.94,351.2006456967283
station,sem,primary_total_co2,0.95,350.5381759983581
station,sem,primary_total_co2,0.96,349.70950773235626
station,sem,primary_total_co2,0.97,348.6386940531004
station,sem,primary_total_co2,0.98,347.16395055544115
station,sem,primary_total_co2,0.99,344.80146488815046
station,sar,primary_total_co2,-0.99,255.30439065025504
station,sar,primary_total_co2,-0.98,255.9893438562938
station,sar,primary_total_co2,-0.97,256.6751097857264
station,sar,primary_total_co2,-0.96,257.36168701246015
station,sar,primary_total_co2,-0.95,258.04907386984206
station,sar,primary_total_co2,-0.94,258.7372684439214
station,sar,primary_total_co2,-0.9299999999999999,259.42626856653254
station,sar,primary_total_co2,-0.9199999999999999,260.116071808193
station,sar,primary_total_co2,-0.91,260.80667547081276
station,sar,primary_total_co2,-0.9,261.4980765802105
station,sar,primary_total_co2,-0.89,262.190271878432
station,sar,primary_total_co2,-0.88,262.883257815865
station,sar,primary_total_co2,-0.87,263.57703054314857
station,sar,primary_total_co2,-0.86,264.2715859028676
station,sar,primary_total_co2,-0.85,264.9669194210332
station,sar,primary_total_co2,-0.84,265.6630262983378
station,sar,primary_total_co2,-0.83,266.35990140118537
station,sar,primary_total_co2,-0.82,267.05753925248746
station,sar,primary_total_co2,-0.81,267.7559340222225
station,sar,primary_total_co2,-0.8,268.4550795177505
station,sar,primary_total_co2,-0.79,269.1549691738805
station,sar,primary_total_co2,-0.78,269.85559604268235
station,sar,primary_total_co2,-0.77,270.55695278303955
station,sar,primary_total_co2,-0.76,271.2590316499358
station,sar,primary_total_co2,-0.75,271.9618244834706
station,sar,primary_total_co2,-0.74,272.66532269759625
station,sar,primary_total_co2,-0.73,273.36951726857325
station,sar,primary_total_co2,-0.72,274.07439872313506
station,sar,primary_total_co2,-0.71,274.7799571263577
station,sar,primary_total_co2,-0.7,275.48618206922794
station,sar,primary_total_co2,-0.69,276.1930626559034
station,sar,primary_total_co2,-0.6799999999999999,276.90058749065855
station,sar,primary_total_co2,-0.6699999999999999,277.60874466451037
station,sar,primary_total_co2,-0.6599999999999999,278.3175217415165
station,sar,primary_total_co2,-0.6499999999999999,279.0269057447411
station,sar,primary_total_co2,-0.6399999999999999,279.73688314188024
station,sar,primary_total_co2,-0.63,280.44743983054076
station,sar,primary_total_co2,-0.62,281.15856112316766
station,sar,primary_total_co2,-0.61,281.87023173160986
station,sar,primary_total_co2,-0.6,282.5824357513228
station,sar,primary_total_co2,-0.59,283.2951566451961
station,sar,primary_total_co2,-0.58,284.00837722700396
station,sar,primary_total_co2,-0.5700000000000001,284.72207964446966
station,sar,primary_total_co2,-0.56,285.436245361937
station,sar,primary_total_co2,-0.55,286.15085514264496
