representation,model,iso3,column,group,value
primary_total_co2,M0star,KHM,abs_latitude,geography,12.05
primary_total_co2,M0star,CHN,abs_latitude,geography,33.82457894736842
primary_total_co2,M0star,GEO,abs_latitude,geography,40.99
primary_total_co2,M0star,IND,abs_latitude,geography,22.25485933503836
primary_total_co2,M0star,IDN,abs_latitude,geography,5.857724137931035
primary_total_co2,M0star,IRN,abs_latitude,geography,34.34257575757576
primary_total_co2,M0star,IRQ,abs_latitude,geography,35.365
primary_total_co2,M0star,ISR,abs_latitude,geography,32.06111111111111
primary_total_co2,M0star,JPN,abs_latitude,geography,35.745828571428575
primary_total_co2,M0star,JOR,abs_latitude,geography,32.95
primary_total_co2,M0star,KAZ,abs_latitude,geography,48.915333333333336
primary_total_co2,M0star,LAO,abs_latitude,geography,18.48
primary_total_co2,M0star,LBN,abs_latitude,geography,34.02333333333333
primary_total_co2,M0star,MYS,abs_latitude,geography,3.6174999999999997
primary_total_co2,M0star,MNG,abs_latitude,geography,47.42
primary_total_co2,M0star,NPL,abs_latitude,geography,27.439999999999998
primary_total_co2,M0star,OMN,abs_latitude,geography,16.87
primary_total_co2,M0star,PAK,abs_latitude,geography,30.52915254237288
primary_total_co2,M0star,PHL,abs_latitude,geography,12.598307692307692
primary_total_co2,M0star,QAT,abs_latitude,geography,24.92
primary_total_co2,M0star,SAU,abs_latitude,geography,22.617142857142856
primary_total_co2,M0star,KOR,abs_latitude,geography,37.78
primary_total_co2,M0star,LKA,abs_latitude,geography,7.7666666666666675
primary_total_co2,M0star,SYR,abs_latitude,geography,34.56
primary_total_co2,M0star,TWN,abs_latitude,geography,24.490666666666666
primary_total_co2,M0star,TJK,abs_latitude,geography,40.185
primary_total_co2,M0star,THA,abs_latitude,geography,13.88904761904762
primary_total_co2,M0star,TUR,abs_latitude,geography,38.91117647058824
primary_total_co2,M0star,TKM,abs_latitude,geography,39.38333333333333
primary_total_co2,M0star,ARE,abs_latitude,geography,24.92
primary_total_co2,M0star,UZB,abs_latitude,geography,40.386250000000004
primary_total_co2,M0star,VNM,abs_latitude,geography,14.572666666666667
primary_total_co2,M0star,YEM,abs_latitude,geography,13.66
primary_total_co2,M0star,ALB,abs_latitude,geography,40.99
primary_total_co2,M0star,AUT,abs_latitude,geography,48.064
primary_total_co2,M0star,BLR,abs_latitude,geography,52.84
primary_total_co2,M0star,BEL,abs_latitude,geography,50.63
primary_total_co2,M0star,BIH,abs_latitude,geography,43.878
primary_total_co2,M0star,BGR,abs_latitude,geography,43.050000000000004
primary_total_co2,M0star,HRV,abs_latitude,geography,45.27333333333333
primary_total_co2,M0star,CYP,abs_latitude,geography,34.56
primary_total_co2,M0star,CZE,abs_latitude,geography,49.99
primary_total_co2,M0star,DNK,abs_latitude,geography,56.25
primary_total_co2,M0star,EST,abs_latitude,geography,58.66
primary_total_co2,M0star,FIN,abs_latitude,geography,61.556000000000004
primary_total_co2,M0star,FRA,abs_latitude,geography,46.79361111111112
primary_total_co2,M0star,DEU,abs_latitude,geography,50.89012345679013
primary_total_co2,M0star,GRC,abs_latitude,geography,38.00714285714286
primary_total_co2,M0star,HUN,abs_latitude,geography,47.062222222222225
primary_total_co2,M0star,ISL,abs_latitude,geography,65.09
primary_total_co2,M0star,IRL,abs_latitude,geography,53.040000000000006
primary_total_co2,M0star,ITA,abs_latitude,geography,43.01619047619048
primary_total_co2,M0star,LVA,abs_latitude,geography,56.25
primary_total_co2,M0star,LTU,abs_latitude,geography,55.45
primary_total_co2,M0star,MKD,abs_latitude,geography,42.59
primary_total_co2,M0star,MDA,abs_latitude,geography,47.419999999999995
primary_total_co2,M0star,MNE,abs_latitude,geography,42.59
primary_total_co2,M0star,NLD,abs_latitude,geography,52.239583333333336
primary_total_co2,M0star,NOR,abs_latitude,geography,60.6725
primary_total_co2,M0star,POL,abs_latitude,geography,51.64473684210526
primary_total_co2,M0star,PRT,abs_latitude,geography,40.07
