iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
JOR,Jordan,Western Asia,0.1241622692023015,0.14973969285589,0.1871379379315484,0.025577423653588505,0.0629756687292469,0,0,0.03739824507565839,primary
KAZ,Kazakhstan,Central Asia,0.2607179280248597,0.1835518088019747,0.1833329508837918,0.07716611922288502,0.0773849771410679,0,0,0.0002188579181828798,primary
LAO,Laos,South-eastern Asia,0.11990552917453423,0.1669581438616493,0.1765846691873256,0.04705261468711508,0.05667914001279137,0,0,0.009626525325676288,primary
LBN,Lebanon,Western Asia,0.13240721718298015,0.16203427374276763,0.17030008782004283,0.02962705655978748,0.037892870637062676,0,0,0.008265814077275196,primary
MYS,Malaysia,South-eastern Asia,0.14354714353630665,0.13984964940859626,0.14475204376650447,0.0036974941277103934,0.001204900230197814,0,0,-0.0024925938975125794,primary
MNG,Mongolia,Eastern Asia,0.273292065382825,0.23284593035884546,0.239329077136633,0.04044613502397956,0.03396298824619201,0,0,-0.006483146777787552,primary
NPL,Nepal,Southern Asia,0.12394103933918027,0.15222704563909764,0.15937435227323948,0.02828600629991737,0.03543331293405921,0,0,0.007147306634141842,primary
OMN,Oman,Western Asia,0.2034660332775613,0.14771171772120062,0.15988104958687455,0.05575431555636068,0.04358498369068675,0,0,-0.012169331865673927,primary
PAK,Pakistan,Southern Asia,0.1799496198587603,0.17771177404611999,0.15420079555917848,0.0022378458126403045,0.025748824299581807,0,0,0.023510978486941503,primary
PHL,Philippines,South-eastern Asia,0.16029540562197608,0.1204642783746577,0.11938528631067805,0.03983112724731838,0.04091011931129804,0,0,0.0010789920639796557,primary
QAT,Qatar,Western Asia,0.2314787860422459,0.17311790332993607,0.17483098751071113,0.058360882712309825,0.05664779853153476,0,0,-0.0017130841807750652,primary
SAU,Saudi Arabia,Western Asia,0.1912885606557455,0.18214799729167125,0.1860827147411205,0.009140563364074261,0.005205845914625001,0,0,-0.00393471744944926,primary
KOR,South Korea,Eastern Asia,0.14512934007189218,0.19991184837319725,0.19530334687861828,0.05478250830130507,0.050174006806726096,0,0,-0.004608501494578976,primary
LKA,Sri Lanka,Southern Asia,0.13450142935863102,0.13860361502211183,0.14309534662980658,0.004102185663480806,0.00859391727117556,0,0,0.0044917316076947544,primary
SYR,Syria,Western Asia,0.14323534954112288,0.21430482271172563,0.22179358739375932,0.07106947317060275,0.07855823785263644,0,0,0.007488764682033688,primary
TWN,Taiwan,Eastern Asia,0.13706412122195852,0.1451448011604917,0.14223287028878023,0.008080679938533175,0.005168749066821715,0,0,-0.00291193087171146,primary
TJK,Tajikistan,Central Asia,0.233975502099763,0.20376282373349153,0.10674244909573155,0.030212678366271478,0.12723305300403145,0,0,0.09702037463775998,primary
THA,Thailand,South-eastern Asia,0.11983102194091183,0.16213029411083202,0.16976871833762044,0.04229927216992019,0.049937696396708614,0,0,0.007638424226788426,primary
TUR,Turkey,Western Asia,0.1419623303023036,0.15622326028829803,0.16659011723578412,0.01426092998599443,0.024627786933480528,0,0,0.010366856947486097,primary
TKM,Turkmenistan,Central Asia,0.2752870410187589,0.1872663685180168,0.18179759516593394,0.08802067250074208,0.09348944585282495,0,0,0.005468773352082873,primary
ARE,United Arab Emirates,Western Asia,0.2248308233871666,0.1636245143346362,0.16336288451835884,0.06120630905253038,0.06146793886880775,0,0,0.0002616298162773645,primary
UZB,Uzbekistan,Central Asia,0.27739224194989204,0.20934363279782758,0.19075264289392588,0.06804860915206445,0.08663959905596616,0,0,0.018590989903901706,primary
VNM,Vietnam,South-eastern Asia,0.122632583177362,0.15883917590787675,0.16790912978028288,0.03620659273051474,0.04527654660292088,0,0,0.009069953872406139,primary
YEM,Yemen,Western Asia,0.20150002766065422,0.1528229913698501,0.15884747035986227,0.04867703629080414,0.042652557300791955,0,0,-0.006024478990012183,primary
ALB,Albania,Southern Europe,0.15748303087977816,0.14280728559731246,0.1434918975607217,0.014675745282465708,0.013991133319056465,0,0,-0.0006846119634092429,primary
AUT,Austria,Western Europe,0.21029967713303166,0.21833416369281403,0.20872139167999354,0.008034486559782367,0.0015782854530381196,0,0,-0.006456201106744247,primary
BLR,Belarus,Eastern Europe,0.21395039394228654,0.21267798118871614,0.20661977237292917,0.001272412753570401,0.007330621569357376,0,0,0.006058208815786975,primary
BEL,Belgium,Western Europe,0.1951636806716645,0.17209711009210016,0.1678802915162384,0.02306657057956435,0.027283389155426108,0,0,0.004216818575861758,primary
BIH,Bosnia And Herzegovina,Southern Europe,0.18440933101350881,0.18743815381749276,0.1824504551375064,0.0030288228039839493,0.0019588758760024083,0,0,-0.001069946927981541,primary
BGR,Bulgaria,Eastern Europe,0.16411393376308978,0.21041847531213914,0.2066197082847127,0.046304541549049366,0.042505774521622935,0,0,-0.0037987670274264307,primary
HRV,Croatia,Southern Europe,0.18952185187085302,0.20488854185423494,0.2000329713217931,0.01536668998338192,0.010511119450940076,0,0,-0.004855570532441844,primary
CYP,Cyprus,Western Asia,0.14075176149640625,0.1601663569693725,0.16647987681799403,0.019414595472966256,0.02572811532158778,0,0,0.006313519848621524,primary
CZE,Czech Republic,Eastern Europe,0.19293606527047014,0.22136393373804847,0.21430048411976968,0.028427868467578332,0.021364418849299543,0,0,-0.007063449618278789,primary
DNK,Denmark,Northern Europe,0.1919403849228464,0.18091772743483914,0.1959647364939831,0.011022657488007265,0.004024351571136703,0,0,-0.006998305916870562,primary
