iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
SYC,41,31433.4,52.1706,-6.83312,6.83312,-10.125,-3.625,2.29328,0.926479,39.7948,59.437,3.41636,103.538,239.171,0.95393,0.0485121,1,0,0,0,0,A,1
SYR,299,189155,38.4516,35.028,35.028,32.375,37.125,1.15315,0.0200172,521.011,273.163,256.927,822.853,2313.53,0.0163508,1,0,0.765131,0.234869,0,0,B,0.765131
TCA,17,12221,-71.6831,21.522,21.522,21.125,21.875,0.272016,0.882334,31.1348,69.5982,1.9435,38.9625,320.312,0.875817,0.46985,0,1,0,0,0,B,1
TCD,1719,1.27808e+06,18.6413,15.2938,15.2938,7.625,23.375,3.85622,0,513.796,298.172,287.152,879.117,3060.22,0,1,0.153226,0.846774,0,0,0,B,0.846774
TGO,82,62663.9,1.00765,8.43449,8.43449,6.125,10.875,1.34172,0.0245232,251.513,148.876,105.222,449.854,818.176,0.0216802,1,1,0,0,0,0,A,1
THA,773,577150,100.884,14.4471,14.4471,5.875,20.375,3.6923,0.0896848,276.104,280.835,18.6919,698.861,1845.7,0.0981745,0.965625,1,0,0,0,0,A,1
TJK,233,140862,71.0332,38.5232,38.5232,36.875,40.875,0.873195,0,2906.69,1549.04,572.598,4706.3,6167.8,0,1,0,0.347787,0.00416382,0.247447,0.400602,E,0.400602
TKL,5,3815.95,-171.876,-9.02512,9.02512,-9.375,-8.625,0.339149,1,46.8125,0,46.8125,46.8125,46.8125,0.977778,0,,,,,,,
TKM,831,497411,59.1132,39.2207,39.2207,35.375,42.625,1.61488,0.0289316,219.808,218.418,56.5385,466.189,2443.85,0.109908,1,0,0.979906,0.0200938,0,0,B,0.979906
TLS,37,28257.5,125.869,-8.77419,8.77419,-9.375,-8.125,0.325989,0.567648,476.682,423.678,54.1353,1041.65,2224.08,0.432432,0.945979,1,0,0,0,0,A,1
TON,31,22567.1,-174.684,-19.5306,19.5306,-22.375,-15.625,1.5817,0.935644,39.1952,42.7077,7.57767,91.3218,157.206,0.953405,0.0957719,1,0,0,0,0,A,1
