variant,fit,fold,column,coefficient
M0_legacy_representation,primary_training,14,income_group=Lower-middle-income countries,-0.01086465997958497
M0_legacy_representation,primary_training,14,income_group=Upper-middle-income countries,-0.014082003826936165
M0_legacy_representation,primary_training,15,intercept,0.013801966454208333
M0_legacy_representation,primary_training,15,cum_co2_per_capita,0.03593494034265404
M0_legacy_representation,primary_training,15,cum_co2_total,-0.020819605013097174
M0_legacy_representation,primary_training,15,abs_latitude,0.0011496961908996112
M0_legacy_representation,primary_training,15,elevation,-1.3244646394908962e-06
M0_legacy_representation,primary_training,15,continentality,4.150659980088047e-05
M0_legacy_representation,primary_training,15,population,0.026057253369498164
M0_legacy_representation,primary_training,15,station_density,-0.001587035320979474
M0_legacy_representation,primary_training,15,climate_zone=B,0.010043650318350389
M0_legacy_representation,primary_training,15,climate_zone=C,-0.023666431699968807
M0_legacy_representation,primary_training,15,climate_zone=D,-0.0058403499589405675
M0_legacy_representation,primary_training,15,climate_zone=E,-0.08972892771748021
M0_legacy_representation,primary_training,15,hemisphere=S,-0.030016247726471105
M0_legacy_representation,primary_training,15,spatial_block=Asia,-0.06080119088929625
M0_legacy_representation,primary_training,15,spatial_block=Europe,-0.0679381653392057
M0_legacy_representation,primary_training,15,spatial_block=North America,-0.09476222684284644
M0_legacy_representation,primary_training,15,spatial_block=Oceania,-0.057378548517718043
M0_legacy_representation,primary_training,15,spatial_block=South America,-0.0644755420907693
M0_legacy_representation,primary_training,15,income_group=Low-income countries,0.00025719991898801747
M0_legacy_representation,primary_training,15,income_group=Lower-middle-income countries,-0.009149827161674846
M0_legacy_representation,primary_training,15,income_group=Upper-middle-income countries,-0.015097185813732716
M0_legacy_representation,primary_training,16,intercept,0.014648369356050866
M0_legacy_representation,primary_training,16,cum_co2_per_capita,0.03816950585122561
M0_legacy_representation,primary_training,16,cum_co2_total,-0.02361981721628309
M0_legacy_representation,primary_training,16,abs_latitude,0.0010846913365056346
M0_legacy_representation,primary_training,16,elevation,-2.501152807890323e-06
M0_legacy_representation,primary_training,16,continentality,4.5340014365066085e-05
M0_legacy_representation,primary_training,16,population,0.02610089306879176
M0_legacy_representation,primary_training,16,station_density,-0.0015629587826149014
M0_legacy_representation,primary_training,16,climate_zone=B,0.0072336794402662625
M0_legacy_representation,primary_training,16,climate_zone=C,-0.020939389874448756
M0_legacy_representation,primary_training,16,climate_zone=D,-0.004728740501401884
M0_legacy_representation,primary_training,16,climate_zone=E,-0.09050386098175768
M0_legacy_representation,primary_training,16,hemisphere=S,-0.029485996205863237
M0_legacy_representation,primary_training,16,spatial_block=Asia,-0.0550015605504642
M0_legacy_representation,primary_training,16,spatial_block=Europe,-0.06402092729525576
