weights,family,representation,theta,loglik
land,sar,primary_total_co2,-0.06999999999999995,320.10727643428265
land,sar,primary_total_co2,-0.05999999999999994,320.8329720719315
land,sar,primary_total_co2,-0.04999999999999993,321.55782113998526
land,sar,primary_total_co2,-0.039999999999999925,322.281756656321
land,sar,primary_total_co2,-0.030000000000000027,323.00470962302103
land,sar,primary_total_co2,-0.020000000000000018,323.72660897822436
land,sar,primary_total_co2,-0.010000000000000009,324.44738154713093
land,sar,primary_total_co2,0.0,325.16695199215496
land,sar,primary_total_co2,0.010000000000000009,325.88524276222716
land,sar,primary_total_co2,0.020000000000000018,326.6021740412439
land,sar,primary_total_co2,0.030000000000000027,327.31766369566384
land,sar,primary_total_co2,0.040000000000000036,328.03162722125
land,sar,primary_total_co2,0.050000000000000044,328.7439776889569
land,sar,primary_total_co2,0.06000000000000005,329.45462568996203
land,sar,primary_total_co2,0.07000000000000006,330.16347927984106
land,sar,primary_total_co2,0.08000000000000007,330.8704439218846
land,sar,primary_total_co2,0.09000000000000008,331.57542242955316
land,sar,primary_total_co2,0.10000000000000009,332.27831490806983
land,sar,primary_total_co2,0.1100000000000001,332.9790186951439
land,sar,primary_total_co2,0.1200000000000001,333.67742830082125
land,sar,primary_total_co2,0.13000000000000012,334.37343534645174
land,sar,primary_total_co2,0.14000000000000012,335.0669285027664
land,sar,primary_total_co2,0.15000000000000013,335.75779342704874
land,sar,primary_total_co2,0.16000000000000014,336.44591269938604
land,sar,primary_total_co2,0.16999999999999993,337.1311657579798
land,sar,primary_total_co2,0.17999999999999994,337.81342883349015
land,sar,primary_total_co2,0.18999999999999995,338.492574882385
land,sar,primary_total_co2,0.19999999999999996,339.16847351925725
land,sar,primary_total_co2,0.20999999999999996,339.8409909480639
land,sar,primary_total_co2,0.21999999999999997,340.50998989223933
land,sar,primary_total_co2,0.22999999999999998,341.1753295236148
land,sar,primary_total_co2,0.24,341.83686539007454
land,sar,primary_total_co2,0.25,342.4944493418611
land,sar,primary_total_co2,0.26,343.1479294564271
land,sar,primary_total_co2,0.27,343.79714996171555
land,sar,primary_total_co2,0.28,344.4419511577333
land,sar,primary_total_co2,0.29000000000000004,345.08216933625454
land,sar,primary_total_co2,0.30000000000000004,345.717636698472
land,sar,primary_total_co2,0.31000000000000005,346.3481812703816
land,sar,primary_total_co2,0.32000000000000006,346.97362681565664
land,sar,primary_total_co2,0.33000000000000007,347.5937927457279
land,sar,primary_total_co2,0.3400000000000001,348.2084940267473
land,sar,primary_total_co2,0.3500000000000001,348.8175410830639
land,sar,primary_total_co2,0.3600000000000001,349.4207396967886
